year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2008,FORD,EXPLORER,XLT,SUV,,1fmeu63e38ua32848,md,19,159339,white,gray,ford motor credit company llc pd,4450,3000,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),1/6/2015
2008,FORD,ESCAPE,XLT,SUV,automatic,1fmcu03z28ke11083,ga,38,79937,white,beige,santander consumer,7350,9200,Tue Jan 20 2015 01:30:00 GMT-0800 (PST),1/20/2015
2008,FORD,ECONOLINE CARGO,E-250,Van,automatic,1ftne24w88da56547,fl,4,199678,white,gray,auto sails inc,4300,4900,Tue Jan 06 2015 16:00:00 GMT-0800 (PST),1/6/2015
2008,FORD,EXPEDITION,Limited,SUV,,1fmfu20528la47591,pa,41,64432,silver,black,mwm motors inc,16650,18800,Fri Jan 02 2015 09:15:00 GMT-0800 (PST),1/2/2015
2008,FORD,EDGE,Limited,SUV,,2fmdk49c98ba06594,pa,38,89258,gray,black,alans autos,11050,12400,Fri Jan 02 2015 09:00:00 GMT-0800 (PST),1/2/2015
2008,FORD,F-250 SUPER DUTY,XLT,Truck,automatic,1ftsw20r58ea12144,mo,41,54937,gray,tan,ford motor credit company,17550,20000,Tue Jan 06 2015 03:00:00 GMT-0800 (PST),1/6/2015
2008,FORD,F-150,XLT,Truck,automatic,1ftpx14v58fb11447,mi,35,115736,silver,gray,advia credit union,11850,9600,Thu Jan 15 2015 01:30:00 GMT-0800 (PST),1/15/2015
2008,FORD,ESCAPE,XLT,SUV,automatic,1fmcu03128ke38035,nc,25,110642,silver,beige,crossroads nissan,5850,7000,Mon Jan 12 2015 09:00:00 GMT-0800 (PST),1/12/2015
2008,FORD,EDGE,SE,SUV,automatic,2fmdk36c28ba64674,nc,24,88744,blue,gray,myrddin fleet services,8600,7400,Tue Jan 06 2015 01:15:00 GMT-0800 (PST),1/6/2015
2008,FORD,ECONOLINE CARGO,E-250,Van,automatic,1ftne24w28da47049,nc,24,189669,white,gray,ari,4675,4100,Tue Jan 06 2015 01:15:00 GMT-0800 (PST),1/6/2015
2008,FORD,ECONOLINE WAGON,E-350 Super Duty XLT,Van,automatic,1fbss31lx8da91753,nc,38,88972,white,gray,repo remarketing/hughes fcu,11350,12200,Mon Jan 05 2015 01:30:00 GMT-0800 (PST),1/5/2015
2008,FORD,EXPLORER SPORT TRAC,XLT,Truck,automatic,1fmeu31868ua28319,tx,19,119448,white,gray,capital one auto finance,9900,8600,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2008,FORD,EDGE,SE,SUV,automatic,2fmdk36cx8ba89791,fl,25,120820,blue,black,wells fargo dealer services,7225,5300,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),1/6/2015
2008,FORD,TAURUS,SEL,Sedan,,1fahp24w68g154486,nc,29,158029,white,tan,dt credit corporation,3100,2900,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),1/6/2015
2008,FORD,MUSTANG,Premium,Coupe,,1zvht80n985172057,va,31,78891,red,black,mcmb financial,7350,8100,Thu Jan 15 2015 01:20:00 GMT-0800 (PST),1/15/2015
