year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2005,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvht84n855243321,tx,27,142486,blue,tan,westlake financial services,5225,4000,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT),2015-03-10,3
2004,FORD,MUSTANG,Premium,Convertible,automatic,1fafp444x4f131326,mn,29,108449,—,beige,manheim minneapolis,3350,3200,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),2015-03-04,3
2004,FORD,MUSTANG,Deluxe,Convertible,automatic,1fafp446x4f144398,az,42,37439,white,tan,dealer network group auto wholesale,4625,6800,Thu Mar 05 2015 03:30:00 GMT-0800 (PST),2015-03-05,3
2003,FORD,MUSTANG,Deluxe,Convertible,automatic,1fafp44403f407849,fl,19,110773,white,gray,regional acceptance corporation / greenville,2700,1800,Thu Mar 05 2015 01:35:00 GMT-0800 (PST),2015-03-05,3
2003,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44413f402482,pa,38,113696,blue,white,preston honda,2650,3200,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),2015-03-04,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2e5220035,az,39,54608,white,black,dtg operations inc,14500,14500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST),2015-03-05,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0e5234144,az,44,54378,white,black,dtg operations inc,14550,15000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST),2015-03-05,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6e5238389,tn,37,32595,—,black,wholesale inc # 2,17650,17750,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),2015-03-04,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9e5227158,az,38,59515,black,black,dtg operations inc,13800,13700,Thu Mar 05 2015 03:00:00 GMT-0800 (PST),2015-03-05,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5e5234124,az,42,58528,black,black,dtg operations inc,13950,14100,Thu Mar 05 2015 03:00:00 GMT-0800 (PST),2015-03-05,3
2014,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvbp8ff2e5307384,tn,48,10345,—,black,midtown motors,30200,28400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),2015-03-04,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6e5245584,wa,43,55661,silver,black,cameron motors,15100,17500,Wed Mar 04 2015 04:30:00 GMT-0800 (PST),2015-03-04,3
2014,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvbp8ff3e5299960,tx,44,13973,black,black,pm standley motorcars,29800,29200,Wed Mar 04 2015 02:20:00 GMT-0800 (PST),2015-03-04,3
2004,FORD,THUNDERBIRD,Premium,Convertible,automatic,1fahp60a44y112212,fl,37,87322,red,beige,king hyundai,10700,11300,Thu Mar 05 2015 02:00:00 GMT-0800 (PST),2015-03-05,3
1998,FORD,MUSTANG,Base,Convertible,,1fafp4443wf276517,fl,19,78592,red,black,autonation toyota pinellas park,1650,1200,Tue Mar 03 2015 10:00:00 GMT-0800 (PST),2015-03-03,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9e5219819,ca,42,35045,silver,black,skyhigh remarketing inc,17300,17250,Wed Mar 04 2015 04:00:00 GMT-0800 (PST),2015-03-04,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0e5306654,ca,2,30014,gray,black,enterprise vehicle exchange / tra / rental / tulsa,18000,11600,Wed Mar 04 2015 07:05:00 GMT-0800 (PST),2015-03-04,3
2012,FORD,MUSTANG,V6,Convertible,manual,1zvbp8em0c5261812,oh,37,52925,black,black,ford motor credit company llc,11950,14800,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT),2015-03-10,3
2010,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8en1a5122343,ca,29,77652,—,black,palm springs ford-lincoln-mercury,10250,10200,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),2015-03-05,3
2010,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8en8a5170258,fl,2,53782,blue,black,us bank,12750,7500,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT),2015-03-09,3
2009,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvht85h595117948,pa,19,57250,black,black,charles & son auto sls inc,13400,15300,Fri Mar 06 2015 01:00:00 GMT-0800 (PST),2015-03-06,3
2009,FORD,MUSTANG,GT Premium,Convertible,manual,1zvht85h595127511,nc,41,125369,black,black,hendrick dodge,9375,11200,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT),2015-03-09,3
2008,FORD,MUSTANG,Premium,Convertible,automatic,1zvht84n385176132,ca,42,123595,white,black,arrowhead auto group inc,4875,8200,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),2015-03-05,3
2005,FORD,MUSTANG,Premium,Convertible,manual,1zvft84nx55188085,az,36,111855,blue,gray,chapman corporate wholesale,5075,8500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST),2015-03-05,3
2005,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvht84n655243933,nc,26,96113,green,black,atlantic coast remarketing inc/asf,6200,5600,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT),2015-03-09,3
2005,FORD,MUSTANG,Deluxe,Convertible,,1zvht84n955259138,nc,34,162287,blue,beige,dt inventory,4825,3500,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
2005,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvht84n155226912,ca,35,140422,blue,black,valley kia,5000,5400,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),2015-03-05,3
