year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2014,FORD,C-MAX HYBRID,SEL,Hatchback,automatic,1fadp5bu6el513744,mo,47,20095,white,black,ford motor credit company,17700,17600,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,E-SERIES VAN,E-250,Van,automatic,1ftne2ew9eda09604,nj,44,8608,white,gray,u-haul,21600,22700,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,E-SERIES VAN,E-250,Van,automatic,1ftne2ew7eda20035,nj,48,5501,white,gray,u-haul,21900,22700,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,E-SERIES VAN,E-250,Van,,1ftne2ew9eda10252,nj,44,10786,white,gray,u-haul,21400,21800,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,EDGE,Limited,SUV,automatic,2fmdk4kc7eba71496,mo,49,15258,brown,black,ars/enterprise,27100,27400,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EDGE,Limited,SUV,automatic,2fmdk3kc1eba46846,mo,39,32500,black,black,ars/enterprise,23700,23700,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EDGE,Limited,SUV,automatic,2fmdk4kc5eba91116,mo,48,21755,gold,black,ars/enterprise,26400,27900,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EDGE,SEL,SUV,automatic,2fmdk4jc2eba79457,tn,36,15831,red,beige,avis budget group,23400,23600,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,ESCAPE,SE,SUV,automatic,1fmcu9g90euc77317,tn,32,37761,—,beige,avis budget group,18300,17200,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,EDGE,Limited,SUV,automatic,2fmdk4kcxeba78507,mo,4,23286,gray,black,ars/enterprise,26200,26400,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EDGE,Limited,SUV,automatic,2fmdk3kc5eba50785,mo,41,25724,black,black,ars/enterprise,24200,24300,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,ESCAPE,SE,SUV,automatic,1fmcu9g91eua86862,tn,43,33447,—,gray,ars/avis budget group,18900,18900,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,EDGE,SE,SUV,automatic,2fmdk3gc3eba44864,fl,45,1412,white,beige,suntrust bank,19800,21400,Wed Mar 04 2015 01:10:00 GMT-0800 (PST),3/4/2015
2014,FORD,ESCAPE,SE,SUV,automatic,1fmcu9g92eub66347,mo,35,36444,silver,beige,ars/avis budget group,18500,18300,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,ESCAPE,SE,SUV,automatic,1fmcu9g96euc53930,tn,36,30865,blue,gray,avis budget group,19500,19300,Wed Mar 11 2015 03:00:00 GMT-0700 (PDT),3/11/2015
