year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2007,FORD,FREESTYLE,SEL,Hatchback,automatic,1fmdk05167ga01213,fl,27,112638,gold,tan,eastern bank,3600,2100,Wed Dec 17 2014 17:15:00 GMT-0800 (PST),12/17/2014
2007,FORD,MUSTANG,Deluxe,Coupe,automatic,1zvft80n475281824,az,19,91595,blue,beige,vantage west credit union,6900,6900,Tue Dec 23 2014 11:00:00 GMT-0800 (PST),12/23/2014
2007,FORD,FIVE HUNDRED,SEL,Sedan,automatic,1fahp24177g130104,mi,13,104543,blue,gray,first investors financial services,3850,1800,Thu Dec 18 2014 13:10:00 GMT-0800 (PST),12/18/2014
2007,FORD,FREESTYLE,Limited,Hatchback,automatic,1fmdk031x7ga18423,mi,,87383,black,tan,us auto sales inc,5175,3950,Thu Dec 18 2014 09:30:00 GMT-0800 (PST),12/18/2014
2007,FORD,RANGER,XLT,Truck,manual,1ftzr45ex7pa89361,pa,47,38474,gray,black,adcock brothers inc,13900,14500,Fri Dec 19 2014 09:30:00 GMT-0800 (PST),12/19/2014
2007,FORD,RANGER,XL,Truck,automatic,1ftyr11u57pa06099,ca,23,126467,white,gray,northwestern chrys/j/d/ge,4150,4500,Tue Dec 23 2014 12:30:00 GMT-0800 (PST),12/23/2014
2007,FORD,F-250 SUPER DUTY,XLT,Truck,automatic,1ftsw21px7ea49850,nv,3,118038,silver,gray,888 motors,15250,13100,Thu Dec 18 2014 11:45:00 GMT-0800 (PST),12/18/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp07z07r203182,tx,19,68079,—,gray,ford motor credit company llc,5125,3200,Thu Dec 18 2014 10:30:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,automatic,1fahp34n47w210944,ga,28,107113,gray,gray,wells fargo dealer services,3050,3600,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,F-150,King Ranch,Truck,automatic,1ftrw14517fb27980,mi,36,59211,black,black,runde chevrolet inc,20300,20000,Thu Dec 18 2014 09:30:00 GMT-0800 (PST),12/18/2014
2007,FORD,FUSION,SEL,Sedan,automatic,3fahp08177r206914,pa,25,102938,red,tan,hertz remarketing,5275,5100,Fri Dec 19 2014 09:00:00 GMT-0800 (PST),12/19/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,,1fafp34n07w206753,az,2,41652,—,beige,vantage west credit union,5075,4200,Tue Dec 23 2014 11:00:00 GMT-0800 (PST),12/23/2014
2007,FORD,MUSTANG,Deluxe,Coupe,automatic,1zvft80n875269417,ga,22,83507,silver,gray,wells fargo dealer services,7125,6600,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,TAURUS,SE Fleet,Sedan,automatic,1fafp53u67a181102,mo,19,151291,silver,gray,first community credit union,1725,1550,Tue Dec 23 2014 10:30:00 GMT-0800 (PST),12/23/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,automatic,1fafp34n47w155970,hi,19,114467,white,gray,santander consumer,2800,1200,Tue Dec 30 2014 15:30:00 GMT-0800 (PST),12/30/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp07127r241622,nv,,79595,silver,—,autofinders inc,5525,6900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,MUSTANG,Deluxe,Coupe,automatic,1zvht80nx75256743,mn,,107972,blue,tan,fury motors inc,6050,6500,Thu Dec 18 2014 10:45:00 GMT-0800 (PST),12/18/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp07177r215291,nc,,165748,white,black,crown dodge of fayetteville,2325,3000,Thu Dec 18 2014 14:30:00 GMT-0800 (PST),12/18/2014
2007,FORD,MUSTANG,Deluxe,Coupe,automatic,1zvft80nx75234295,ga,,104898,gray,black,hughes honda,6375,6600,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,automatic,1fafp34n57w129720,il,,125499,silver,—,al piemonte arlington heights ford inc,2800,1800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp07117r157517,tx,23,126374,silver,black,dt inventory,4000,4000,Tue Dec 23 2014 10:10:00 GMT-0800 (PST),12/23/2014
2007,FORD,MUSTANG,Deluxe,Coupe,automatic,1zvft80nx75368921,fl,,83087,blue,black,northtown hyundai subaru,7150,6900,Thu Dec 18 2014 11:40:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,automatic,1fafp34n77w179163,mn,19,86245,white,gray,exeter finance corp,3775,2600,Thu Dec 18 2014 10:45:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,automatic,1fahp34n67w244027,fl,,66290,black,—,arrigo dodge chrysler jeep ram ft pierce,4300,2400,Thu Dec 18 2014 09:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,,1fafp34n57w213195,in,19,119002,red,gray,santander consumer,2725,3300,Thu Dec 18 2014 10:10:00 GMT-0800 (PST),12/18/2014
2007,FORD,FUSION,S,Sedan,automatic,3fahp06z87r245343,tx,19,109632,gray,gray,dt credit corporation,3350,3800,Tue Dec 23 2014 10:10:00 GMT-0800 (PST),12/23/2014
2007,FORD,FOCUS,ZX5 SES,Hatchback,,1fahp37n17w261989,il,23,98694,black,black,wells fargo dealer services,3825,3200,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,FREESTYLE,SEL,Hatchback,,1fmdk05157ga32274,on,,186091,red,—,brampton powersports/brampton used,1900,3650,Thu Dec 18 2014 18:30:00 GMT-0800 (PST),12/18/2014
2007,FORD,MUSTANG,Deluxe,Coupe,manual,1zvft80n975292379,nc,34,126986,black,black,dt credit corporation,5625,5900,Tue Dec 23 2014 09:30:00 GMT-0800 (PST),12/23/2014
2007,FORD,FREESTYLE,Limited,Hatchback,automatic,1fmdk06107ga19883,nj,,109168,black,—,gold coast auto brokers inc,3675,4400,Wed Dec 17 2014 09:00:00 GMT-0800 (PST),12/17/2014
2007,FORD,MUSTANG,Deluxe,Coupe,automatic,1zvft80nx75198768,fl,,142413,black,black,the auto group collection inc,5000,5800,Thu Dec 18 2014 11:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,RANGER,XL,Truck,manual,1ftyr10d67pa65079,ny,,183743,gray,gray,affinity auto sales,2700,1900,Thu Dec 18 2014 09:30:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,,1fahp34n27w134267,co,19,76565,white,gray,santander consumer,4075,4300,Tue Dec 23 2014 11:45:00 GMT-0800 (PST),12/23/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp01157r151602,oh,19,95228,blue,black,wells fargo dealer services,5250,4200,Tue Dec 23 2014 12:00:00 GMT-0800 (PST),12/23/2014
2007,FORD,FOCUS,ZX3 S,Hatchback,,1fafp31n37w207559,nv,,,silver,—,kars forever,2600,4700,Fri Dec 19 2014 12:00:00 GMT-0800 (PST),12/19/2014
2007,FORD,F-250 SUPER DUTY,XLT,Truck,automatic,1ftsx20p57eb38563,mn,,141193,white,gray,freeway ford llc,5100,4000,Thu Dec 18 2014 10:45:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,automatic,1fafp34nx7w183305,in,26,158254,white,tan,fiserv,1575,1800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,TAURUS,SE Fleet,Sedan,automatic,1fafp53u77a214219,oh,19,1,gray,gray,wells fargo dealer services,5100,1200,Tue Dec 23 2014 12:00:00 GMT-0800 (PST),12/23/2014
2007,FORD,TAURUS,SE Fleet,Sedan,automatic,1fafp53u17a136973,nc,32,143473,gray,gray,dt inventory,1950,1800,Tue Dec 23 2014 09:30:00 GMT-0800 (PST),12/23/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp07z57r171460,nc,24,165272,red,black,crossroads ford lincoln of sanford inc,2300,2900,Mon Dec 22 2014 09:00:00 GMT-0800 (PST),12/22/2014
2007,FORD,F-150,XL,Truck,automatic,1ftrf12w17kd53455,fl,,129298,white,gray,aubreys auto sales inc,4250,4800,Thu Dec 18 2014 09:50:00 GMT-0800 (PST),12/18/2014
