year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4c5273381,ca,36,47521,black,black,dtg operations inc,12700,12700,Thu Feb 19 2015 11:30:00 GMT-0800 (PST),2015-02-19,2
2010,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8en5a5107814,nj,37,67743,blue,tan,m & r auto sales,10800,11500,Wed Feb 18 2015 01:30:00 GMT-0800 (PST),2015-02-18,2
2006,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvht85h765123987,fl,19,67171,gray,—,td auto finance,9750,10200,Tue Feb 17 2015 01:00:00 GMT-0800 (PST),2015-02-17,2
2005,FORD,THUNDERBIRD,Deluxe,Convertible,automatic,1fahp60a65y108650,fl,24,34547,red,black,king hyundai,15450,16200,Thu Feb 19 2015 02:40:00 GMT-0800 (PST),2015-02-19,2
2004,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44634f148616,nj,26,122306,black,gray,j & s auto haus,2725,3150,Wed Feb 18 2015 01:00:00 GMT-0800 (PST),2015-02-18,2
2002,FORD,MUSTANG,GT Deluxe,Convertible,automatic,1fafp45x22f147560,tx,18,155392,white,black,credit acceptance corp/vrs/southfield,2350,2100,Thu Feb 19 2015 03:00:00 GMT-0800 (PST),2015-02-19,2
2002,FORD,THUNDERBIRD,Premium,Convertible,automatic,1fahp60ax2y131392,ca,29,75771,black,black,riverside car store inc,10900,8700,Tue Feb 17 2015 04:30:00 GMT-0800 (PST),2015-02-17,2
2001,FORD,MUSTANG,Deluxe,Convertible,automatic,1fafp444x1f229946,nv,24,76074,green,gray,credit acceptance corp/vrs/southfield,2700,2300,Thu Feb 19 2015 04:00:00 GMT-0800 (PST),2015-02-19,2
1995,FORD,MUSTANG,GT,Convertible,automatic,1falp45t2sf111593,ca,2,160863,black,black,hoehn buick gmc cadillac,925,800,Wed Feb 18 2015 04:30:00 GMT-0800 (PST),2015-02-18,2
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em1e5292215,az,2,26617,gray,black,enterprise vehicle exchange / tra / rental / tulsa,17900,11200,Wed Feb 18 2015 03:00:00 GMT-0800 (PST),2015-02-18,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8e5229466,az,41,51344,white,black,dtg operations inc,14650,14400,Thu Feb 19 2015 03:30:00 GMT-0800 (PST),2015-02-19,2
2011,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5b5150445,ga,27,78813,blue,black,germain toyota of naples/germain scion of naples,11300,9500,Thu Feb 19 2015 02:00:00 GMT-0800 (PST),2015-02-19,2
2010,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8en4a5114320,fl,19,87549,black,black,jpmorgan chase bank n.a.,10350,7500,Tue Feb 24 2015 01:30:00 GMT-0800 (PST),2015-02-24,2
2007,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84n075353449,tx,32,97648,orange,black,texas rv outlet superstore,6150,6700,Wed Feb 18 2015 02:20:00 GMT-0800 (PST),2015-02-18,2
2005,FORD,MUSTANG,GT Premium,Convertible,manual,1zvht85h755182732,ga,41,110006,white,beige,innovative auto llc,7250,9000,Thu Feb 19 2015 02:00:00 GMT-0800 (PST),2015-02-19,2
2003,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44473f419593,fl,32,45401,blue,beige,sullivan auto group llc,3875,6600,Thu Feb 19 2015 01:40:00 GMT-0800 (PST),2015-02-19,2
1999,FORD,MUSTANG SVT COBRA,Base,Convertible,manual,1fafp46v4xf178443,ca,23,112752,black,tan,power drive inc,6500,6250,Wed Feb 18 2015 04:15:00 GMT-0800 (PST),2015-02-18,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5e5306679,mi,46,18223,black,black,ars/enterprise,19050,20000,Thu Feb 19 2015 01:00:00 GMT-0800 (PST),2015-02-19,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em3e5322881,fl,41,15789,silver,gray,ford-lincoln dealer program,19350,19600,Wed Feb 18 2015 02:00:00 GMT-0800 (PST),2015-02-18,2
2014,FORD,MUSTANG,GT Premium,Convertible,manual,1zvbp8ff7e5245965,il,34,38207,red,black,ford motor credit company,26900,24500,Thu Feb 26 2015 02:00:00 GMT-0800 (PST),2015-02-26,2
2014,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvbp8ffxe5245894,il,34,19247,black,black,ford motor credit company,29300,26600,Thu Feb 26 2015 02:00:00 GMT-0800 (PST),2015-02-26,2
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1d5242056,ca,44,33329,black,black,ars/avis budget group,16850,16800,Thu Feb 26 2015 04:30:00 GMT-0800 (PST),2015-02-26,2
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9d5203876,ca,37,48529,white,black,dtg operations inc,13800,14100,Thu Feb 19 2015 03:30:00 GMT-0800 (PST),2015-02-19,2
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0d5234482,ca,42,71276,gray,gray,lease remarketing services inc,12500,12800,Wed Feb 18 2015 04:00:00 GMT-0800 (PST),2015-02-18,2
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2d5259707,ca,19,10479,black,black,ford motor credit company llc,18850,8000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST),2015-02-26,2
2012,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvbp8ff2c5246096,pa,44,11164,black,black,adcock brothers inc,24300,25000,Fri Feb 20 2015 09:00:00 GMT-0800 (PST),2015-02-20,2
2000,FORD,MUSTANG,GT,Convertible,manual,1fafp45x8yf279750,ca,22,137529,—,gray,california fleet inc,2225,3700,Thu Feb 19 2015 04:00:00 GMT-0800 (PST),2015-02-19,2
2011,FORD,MUSTANG,GT,Convertible,manual,1zvbp8ff4b5137119,nv,38,46622,blue,black,findlay acura,19950,21200,Fri Feb 20 2015 05:00:00 GMT-0800 (PST),2015-02-20,2
2011,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4b5118067,ca,24,96724,white,black,logix federal credit union,10300,7400,Thu Feb 19 2015 04:30:00 GMT-0800 (PST),2015-02-19,2
2008,FORD,MUSTANG,Premium,Convertible,automatic,1zvht84n585171241,nj,19,53040,red,gray,autolenders liquidation center,8325,6400,Wed Feb 25 2015 01:30:00 GMT-0800 (PST),2015-02-25,2
2008,FORD,MUSTANG,Premium,Convertible,automatic,1zvht84n485204987,pa,37,72748,gray,black,lxm motorcars,7375,10100,Fri Feb 20 2015 09:00:00 GMT-0800 (PST),2015-02-20,2
2006,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84n465224497,fl,35,69297,red,beige,onemain rem/miami auto world llc,6900,7200,Fri Feb 27 2015 02:00:00 GMT-0800 (PST),2015-02-27,2
