year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2e5264374,fl,39,29408,black,beige,sam galloway ford lincoln,18650,28500,Thu Apr 23 2015 02:00:00 GMT-0700 (PDT),2015-04-23,4
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0e5322899,il,34,18380,red,beige,avis budget group,20500,27500,Thu Apr 09 2015 03:00:00 GMT-0700 (PDT),2015-04-09,4
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8e5259728,il,48,20574,black,black,ford motor credit company,20100,27000,Thu Apr 23 2015 03:00:00 GMT-0700 (PDT),2015-04-23,4
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4e5205861,nv,21,55388,black,black,chapman chry jeep,15750,16900,Fri Apr 10 2015 04:45:00 GMT-0700 (PDT),2015-04-10,4
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0e5279522,fl,43,30791,white,black,ars/avis budget group,20200,16400,Thu Apr 23 2015 02:00:00 GMT-0700 (PDT),2015-04-23,4
2014,FORD,MUSTANG,GT,Convertible,,1zvbp8ff3e5307345,pa,48,13191,silver,black,r hollenshead auto sales inc,29800,18000,Fri Apr 17 2015 02:00:00 GMT-0700 (PDT),2015-04-17,4
